AI-SOC V4 Python Legacy / Migration Inventory — 2026-08-11

Interpretation: existence of these files does NOT mean the current production entrypoints invoke Python. The Rust-first production gate separately checks Dockerfiles, Compose, systemd and Make runtime targets. This inventory records remaining migration debt and regression assets.

Summary:
  migrations: 18 files, 3808 LOC
tests/unit/test_agent_process.py	243 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_agent_queue.py	314 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_agent_releases.py	483 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_agent_runtime.py	502 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_agent_schemas.py	36 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_agent_supervisor.py	208 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_ai_review_gate.py	239 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_ai_review_orchestrator.py	373 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_ai_review_providers.py	509 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_ai_review_repository.py	371 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_ai_review_runtime.py	152 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_ai_review_tool_gateway.py	293 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_ai_review_verification.py	753 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_api_basics.py	253 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_auditd_aggregator.py	90 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_auditd_collector.py	305 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_clamav_scanner.py	201 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_config.py	255 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_console_api.py	606 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_console_repository.py	1167 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_detection_worker.py	373 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_downloader.py	282 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_freshness_monitor.py	45 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_incident_correlator.py	233 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_incident_lifecycle.py	263 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_incident_repository.py	351 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_incident_worker.py	194 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_ioc_enricher.py	82 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_linux_platform.py	114 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_malware_api.py	162 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_malware_orchestrator.py	200 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_malware_quarantine.py	106 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_malware_sandbox.py	114 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_malware_static.py	95 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_malware_worker.py	141 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_normalize_worker.py	199 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_notification_repository.py	232 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_notification_webhook.py	201 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_notification_worker.py	164 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_object_store.py	128 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_operator_repository.py	78 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_platform_cli.py	19 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_platform_contracts.py	70 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_response_adapters.py	360 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_response_api.py	291 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_response_native.py	385 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_response_policy.py	240 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_response_rbac.py	63 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_response_repository.py	315 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_response_worker.py	248 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_review_route_security.py	41 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_rule_lifecycle_api.py	236 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_rule_lifecycle_repository.py	324 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_rust_core.py	84 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_security_event.py	53 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_tenant_tokens.py	23 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_trace_api.py	101 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_trace_builder.py	357 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_trace_repository.py	165 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_transport.py	294 LOC	legacy/regression test; retained to compare behavior during Rust migration
tests/unit/test_yara_x_scanner.py	154 LOC	legacy/regression test; retained to compare behavior during Rust migration
migrations/env.py	62 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260803_0001_p1_core_tables.py	157 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260803_0002_tenant_credentials.py	57 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260803_0003_agent_identity.py	203 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260804_0004_agent_events.py	106 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260804_0005_normalize_pipeline.py	254 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260804_0006_detection_engine.py	84 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260808_0007_detection_dedupe_scope.py	53 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260809_0008_p6_incident_engine.py	630 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260809_0009_p7_ai_review.py	281 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260809_0010_p8_claim_verification.py	334 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260809_0011_p9_malware_analysis.py	252 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260809_0012_p10_attack_trace.py	423 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260809_0013_p11_response_control.py	346 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260809_0014_p11_notification_delivery.py	143 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260809_0015_p11_agent_version_inventory.py	38 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260809_0016_p11_rule_lifecycle.py	306 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
migrations/versions/20260809_0017_fk_deferrable.py	79 LOC	legacy Alembic/Python migration history; production database migration path is native Rust SQLx
scripts/bootstrap_agent_enrollment.py	153 LOC	migration-period operator/build tooling; still Python and should be replaced by aisocctl/native release tooling before final V4 closure
scripts/build_agent_artifact.py	105 LOC	migration-period operator/build tooling; still Python and should be replaced by aisocctl/native release tooling before final V4 closure
scripts/check-central-repository.py	114 LOC	development/CI verification script only; not production runtime business logic
scripts/check-sqlx-migrations.py	107 LOC	development/CI verification script only; not production runtime business logic
scripts/check_v4_contract_schemas.py	293 LOC	development/CI verification script only; not production runtime business logic
scripts/replay_detection.py	170 LOC	migration differential replay baseline; authoritative V4 replay gate is the Rust aisoc-detection integration test
